TIMESTAMP, NorthChan1, NorthChan2,
2019-12-11 12:16:43, 0.000, 0.000,

2019-12-11 12:29:38, 0.000, 0.000, 
2019-12-11 12:30:17, 0.000, 0.000, 
2019-12-11 12:31:54, 0.000, 0.000, 
2019-12-11 12:32:38, 0.000, 0.000, 
2019-12-11 12:42:13, 0.000, 0.000, 
2019-12-11 13:12:57, 0.000, 0.000, 
2019-12-11 13:14:52, 0.000, 0.000, 
2019-12-11 13:15:31, 0.000, 0.000, 
2019-12-11 13:27:06, 0.000, 0.000, 
2019-12-11 13:27:59, 0.000, 0.000, 
2019-12-11 13:37:03, 0.000, 0.000, 
2019-12-11 13:38:03, 0.000, 0.000, 
2019-12-11 13:39:03, 0.000, 0.000, 
2019-12-11 13:40:03, 0.000, 0.000, 
2019-12-11 13:41:04, 0.000, 0.000, 
2019-12-11 13:42:03, 0.000, 0.000, 
2019-12-11 13:43:03, 0.000, 0.000, 
2019-12-11 13:44:03, 0.000, 0.005, 
2019-12-11 13:45:03, 0.000, 0.000, 
2019-12-11 13:46:03, 0.000, 0.000, 
2019-12-11 13:47:03, 0.000, 0.000, 
2019-12-11 13:48:03, 0.000, 0.000, 
2019-12-11 13:49:04, 0.000, 0.000, 
2019-12-11 13:50:03, 0.000, 0.000, 
2019-12-11 13:51:03, 0.000, 0.000, 
2019-12-11 13:52:03, 0.000, 0.000, 
2019-12-11 13:53:03, 0.000, 0.000, 
2019-12-11 13:54:04, 0.000, 0.000, 
2019-12-11 13:55:03, 0.000, 0.000, 
2019-12-11 13:56:03, 0.000, 0.000, 
2019-12-11 13:57:03, 0.000, 0.000, 
2019-12-11 13:58:03, 0.000, 0.000, 
2019-12-11 13:59:03, 0.000, 0.000, 
2019-12-11 14:00:03, 0.000, 0.000, 
2019-12-11 14:01:03, 0.000, 0.000, 
2019-12-11 14:02:04, 0.000, 0.000, 
2019-12-11 14:03:03, 0.000, 0.000, 
2019-12-11 14:04:03, 0.000, 0.000, 
2019-12-11 14:05:04, 0.000, 0.032, 
2019-12-11 14:05:06, 0.000, 0.006, 
2019-12-11 14:11:09, 0.000, 0.000, 
2019-12-11 14:43:03, 0.000, 0.000, 
2019-12-11 14:44:03, 0.000, 0.000, 
2019-12-11 14:45:03, 0.000, 0.000, 
2019-12-11 14:46:03, 0.000, 0.000, 
2019-12-11 14:47:04, 0.000, 0.000, 
2019-12-11 14:48:03, 0.000, 0.000, 
2019-12-11 14:49:03, 0.000, 0.000, 
2019-12-11 14:50:03, 0.000, 0.000, 
2019-12-11 14:51:03, 0.000, 0.000, 
2019-12-11 14:52:03, 0.000, 0.000, 
2019-12-11 14:53:03, 0.000, 0.000, 
2019-12-11 14:54:03, 0.000, 0.000, 
2019-12-11 14:55:03, 0.000, 0.000, 
2019-12-11 14:56:03, 0.000, 0.000, 
